序號	單元	答案	題目
54	1	2	下列關於「藍芽(Bluetooth)技術」的敘述，何者不正確？(1)是一種可以應用在電腦、行動電話、家電用品的無線傳輸技術(2)傳輸距離有50公尺與500公尺兩種(3)可以與其他藍芽裝置進行一對多連接(4)傳輸無方向性。
55	1	3	下列關於「藍光光碟(Blu-ray Disc，簡稱BD)」的敘述，何者不正確？(1)BD採用波長405奈米的藍色雷射光束來做讀寫(2)相對於 DVD，BD的容量大幅提升，將可以容納畫質更高、音效更佳的影音內容(3)DVD燒錄機可以進行BD的燒錄(4)BD採用CDFS檔案系統。
56	1	1	下列關於「DVD(Digital Versatile Disc)」的敘述，何者不正確？(1)DVD採用波長405奈米的藍色雷射光束來做讀寫(2)DVD-9是單面雙層的DVD碟片，標稱容量8.5GB(3)DVD-RAM是可以重覆寫入的DVD碟片(4)DVD區域碼(DVD Region Code)是影音產品經銷商與代理商的權益保障機制。
57	1	3	在排序的過程中，若由於資料量太大，而無法完全放在主記憶體中，必須借用輔助記憶體，此種排序方式稱之為：(1)陣列排序(Sort of Array)(2)內部排序(Internal Sorting)(3)外部排序(External Sorting)(4)快速排序(Quick Sorting)。
58	1	4	下列關於「關聯代數(Relational Algebra)」的敘述，何者不正確？(1)關聯代數的運算元(Operand)皆為關聯(Relation)(2)關聯代數的計算結果皆為關聯(Relation)(3)和關聯代數具備相同能力的查詢語言可以宣稱具有關聯完整性(Relationally-Complete)(4)關聯式計算(Relational Calculus)不具有關聯完整性(Relationally-Complete)。
59	1	1	關聯代數(Relational Algebra)當中，下列那一個運算子可以從關聯(Relation)當中挑選出符合條件的值組(Tuple)？(1)選擇(Selection)(2)投影(Projection)(3)合併(Join)(4)除法(Divide)。
60	1	2	關聯代數(Relational Algebra)當中，下列那一個運算子可以從關聯(Relation)當中挑選出特定的屬性(Attribute)？(1)選擇(Selection)(2)投影(Projection)(3)合併(Join)(4)除法(Divide)。
61	1	1	資料庫的每個交易(Transaction)都應該具備四項特性，下列何者不正確？(1)自動性(Automaticity)(2)一致性(Consistency)(3)隔離性(Isolation)(4)持續性(Durability)。
62	1	3	下列關於「資料庫程序(Database Procedure)」的敘述，何者不正確？(1)觸發(Trigger)是事件驅動(Event-Driven)的資料庫程序，當指定的事件發生時會自動執行(2)需要處理的資料量很大、而資料庫伺服器的負載很小時，是考慮使用資料庫程序的適當時機(3)Microsoft SQL Server純量函數(Scalar User-Defined Function)的回傳值可以是TABLE型態(4)Microsoft SQL Server純量函數(Scalar User-Defined Function)的回傳值可以是IND型態。
63	1	4	下列何者不是「資料倉儲(Data Warehouse)」的主要特性？(1)主題導向(Subject-Oriented)(2)整合性(Integrated)8(3)時間變動性(Time-Variant)(4)揮發性(Volatile)。
64	1	4	下列何者不是「資料倉儲(Data Warehouse)」的主要資料模型(Data Model)？(1)星狀模型(Star Schema)(2)雪花狀模型(Snowflake Schema)(3)星座模型(Constellation Schema)(4)階層模型(Hierarchical Schema)。
65	1	1	下列關於「資料探勘(Data-Mining)」的敘述，何者不正確？(1)通常直接對交易型資料庫(Transactional Database)進行資料探勘(2)統計方法、人工智慧技術、資料庫技術是核心基礎(3)關聯法則分析(Association Rule Analysis)可以用來瞭解那些商品經常被一起購買(4)序列探索(Sequence Discovery)可以依據客戶的訂購歷史來預測客戶即將購買的商品。
66	1	2	針對如下之實體關聯圖(Entity-Relationship Diagram)所規劃之資料庫，下列敘述何者不正確？(1)資料庫有六個資料表(Table)(2)資料庫有三個關係(Relationship)(3)家長資料表(Table)有五個欄位(Field)(4)課程資料表(Table)與成績資料表之間的關係是一種一對多的關係。
67	1	1	撰寫結構化查詢語言(SQL)的DELETE陳述式，對關聯式資料庫(Relational Database)進行資料刪除作業時，如果沒有加上適當的WHERE子句將會造成何種結果？(1)目標資料表(Table)的所有資料均被刪除(2)目標資料表(Table)只有第一筆資料被刪除(3)目標資料表(Table)只有最後一筆資料被刪除(4)目標資料表(Table)只有有最後一筆資料被刪除?目標資料表(Table)只有
68	1	3	下列傳輸媒介中，何者在單位時間內的資料傳輸量最大？(1)電話線(2)同軸電纜(3)光纖(4)雙絞線。
69	1	4	某個關聯式資料庫(Relational Database)以客戶資料表(Table)當中的「住址」欄位來保存客戶的完整住址。如果希望撰寫結構化查詢語言(SQL)的非巢狀SELECT陳述式，來查詢居住在「南投縣」或「台中市」之客戶資料，下列敘述何者不正確？(1)SELECT陳述式當中應該加上 WHERE 子句(2)WHERE 子句當中應該使用 LIKE 運算子(3)WHERE 子句當中應該出現 OR 運算子(4)WHERE 子句當中應該使用=運算子。
70	1	1	針對結構化查詢語言(SQL)陳述式「SELECT * FROM A LEFT OUTER JOIN B ON A.pk=B.pk」的查詢結果，下列敘述何者正確？(1)A資料表(Table)的每一筆資料在查詢結果中，最少會出現一次(2)查詢結果的資料筆數等於A資料表(Table)的資料筆數與B資料表的資料筆數兩者之和(3)查詢結果的資料筆數等於 A 資料表(Table)的資料筆數與 B 資料表的資料筆數兩者之積(4)查詢結果的欄位數目與 A 資料表(Table)相同。
71	1	1	如果A資料表(Table)有N筆資料、X個欄位；資料表B有M筆資料、Y個欄位，則針對結構化查詢語言(SQL)陳述式「SELECT * FROM A CROSS JOIN B」查詢結果的資料筆數為(1)N×M(2)X×Y(3)N＋M(4)X＋Y。
72	1	4	如果A資料表(Table)有N筆資料、X個欄位；資料表B有M筆資料、Y個欄位，則針對結構化查詢語言(SQL)陳述式「SELECT * FROM A CROSS JOIN B」查詢結果的欄位數目為(1)N×M(2)X×Y(3)N＋M(4)X＋Y。
73	1	1	小明的家裡有十台電腦，但提供網際網路(Internet)連結服務的電信公司只配給了三個IP，如果希望這十台電腦能夠同時間上網，小明還需要使用何種網路設備？(1)寬頻分享器(Internet Broadband Router)(2)集線器(Hub)(3)路由器 (Router)(4)MOD機上盒。
74	1	3	小明希望在家裡架設無線上網環境，下列敘述何者不正確？(1)沒有內建無線上網功能的電腦應該添加無線網路卡(2)應該在適當地點配置無線基地台(Access Point)(3)無線基地台(Access Point)之間無法做無線連接(4)印表機可以透過無線網路來遠端使用。
75	1	4	小明家裡的電腦突然無法上網，下列敘述何者最不可能是問題所在？(1)ADSL Modem 故障(2)IP分享器故障9(3)電信公司的機房設備故障(4)MOD機上盒故障。
76	1	4	小明無法從學校使用行動電話連結家裡的資料庫，下列敘述何者最不可能是問題所在？(1)行動電話無法順利連結學校的無線基地台(Access Point)(2)行動電話從學校配得的IP被家裡的寬頻分享器(Internet Broadband Router)封鎖(3)資料封包被學校的防火牆過濾掉(4)家裡的 FTP Server 無法正常運作。
77	1	2	下列關於「無線分散系統(Wireless Distribution System)」的敘述，何者不正確？(1)區分成無線橋接(Bridge)與無線中繼(Repeater)兩種應用(2)相互連結的無線基地台(Access Point)應該將SSID設為不同(3)相互連結的無線基地台(Access Point)應該使用相同的無線網路頻道(4)相互連結的無線基地台(Access Point)應該將安全機制設為相同。
78	1	4	在W3C(World Wide Web Consortium)所制定的標準中，未包含下列何者？(1)超文字標籤語言(Hyper Text Markup Language)(2)文件物件模型(Document Object Model)(3)JavaScript(4)結構化查詢語言(Structured Query Language)。
79	1	4	下列關於「RS-232」的敘述中，何者不正確？(1)為一種美國ETA規格(2)可將電腦連接起來，以傳送資料(3)屬於界面的硬體規格(4)是並列式傳送。
80	1	3	主要功能為電子書閱讀的設備為何？(1)iPod(2)iPhone(3)iPad(4)IEEE。
81	1	4	一個單層的藍光光碟(Blu-ray Disc)容量約為：(1)800MB(2)4.7GB(3)10GB(4)25GB。
82	1	2	在高速公路收費站以攝影機拍攝車牌影像，再經由電腦軟體處理，將車牌影像轉換為車牌文字，此為何種應用？(1)影像處理(Image Processing)(2)樣式識別(Pattern Recognition)(3)人工智慧(Artificial Intelligence)(4)電腦圖學(Computer Graphics)。
83	1	3	CAI是下列何者的英文縮寫？(1)電腦輔助設計(2)電腦輔助製造(3)電腦輔助教學(4)電腦軟體能力成熟度。
84	1	3	一張4吋×6吋大小、300dpi全彩照片檔案，考量不壓縮情形，約佔用多少儲存空間？(1)2.5KB(2)350KB(3)6.5MB(4)20MB。
85	1	4	以下何者不是微軟的作業系統？(1)Windows XP(2)Windows VISTA(3)Windows 7(4)X Window。
86	1	3	在我們日常生活中所拍攝的黑白照片，其所採用的顏色是由黑到白間不同明亮度的顏色所組成。由黑到白間不同明亮度的顏色所組成的電腦影像圖檔屬於：(1)全彩圖(2)點陣圖(3)灰階圖(4)黑白圖。
87	1	1	台灣地區的電視播放系統使用何種規格？(1)NTSC(2)PAL(3)SECAM(4)MPEG。
88	1	1	Dreamweaver屬於那一類軟體？(1)網頁設計與編輯軟體(2)影像處理與編輯軟體(3)聲音與影像播放軟體(4)簡報編輯與播放軟體。
89	1	2	下列何者所開發之程式，需要虛擬機器(Virtual Machine)才能正常執行？(1)C++(2)Java(3)Assembly(4)COBOL。
90	1	4	在CPU中，下一個要被執行指令的位址是存放在：(1)位址暫存器(2)緩衝暫存器(3)指令暫存器(4)程式計數器。
91	1	3	下列何者不屬於高階程式語言？(1)C++(2)Java(3)Assembly(4)C#。
92	1	4	下列何者不是音訊檔案格式？(1)wav(2)mp3(3)wma(4)cpp。
93	1	4	下列關於「藍光光碟」的敘述，何者不正確？(1)英文名稱是Blu-ray Disc，簡稱BD(2)可用於大量或高畫質影像的儲存(3)因為使用藍色雷射光進行讀寫，因此稱為藍光光碟(4)容量至少8.5GB。
94	1	4	下列關於「萬國碼(Unicode)」的敘述，何者不正確？(1)使用32位元來代表每個字母、數字或符號(2)與ASCII編碼相容(3)國際字元符號編碼標準之一(4)可以容納無限多個字元符號。
95	1	3	下列何種設備具有「儲存指令以協助電腦啟動」的功能：(1)螢幕(Monitor)(2)中央處理器(CPU)(3)唯讀記憶體(ROM)(4)隨機存取記憶體(RAM)。
96	1	4	赫茲(Hertz，Hz)是用來標示螢幕(1)大小(2)解析度(Resolution)(3)可顯示色彩數目(4)畫面更新率(Refresh Rate) 的單位。
97	1	2	「互動式軟體」的「互動」是指：(1)電腦軟體與電腦軟體間的互動(2)使用者與電腦軟體間的互動(3)使用者與使用者間的互動(4)電腦硬體與電腦軟體間的互動。
98	1	2	下列關於「點陣圖」的敘述，何者不正確？(1)與向量圖比較，需較多的記憶體容量(2)放大縮小不會失真(3)由一群像素點所組成(4)可以是黑白圖，也可以是彩色圖。
99	1	4	一個十進位固定點數表示法(Decimal Fixed-Point Representation)，總位數為7、小數位數為3，下列那一個數值無法以此法精確表示？(1)12.345(2)123.456(3)1234.567(4)12345.67。
100	1	2	依照IEEE 754的浮點表示法標準，單倍精準數的第一個位元是符號位元，接下來的8個位元則是指數部分的位元，最後的23位元則是尾數部分(共32位元)。1640.625以IEEE 754的浮點表示法應為(1)00000101000000000001001101000101(2)01000100110011010001010000000000(3)11000100110011010001010000000000(4)10000101000000000001001101000101。
101	1	2	在「網路上的芳鄰」中，若要讓別人知道我的電腦名稱是「GOODMAN」，該在哪裡作設定？(1)「控制台/網路」(2)電腦名稱(3)存取控制(4)撥號網路。
102	1	1	下列何者將網站與使用者的立場對調，讓使用者從資訊搜尋者變成資訊接受者，當網站有資訊更新時，會主動寄發最新資訊給使用者？(1)RSS(2)Blog(3)News(4)BBS。
103	1	4	P(x)的陳述(Statement)「x=x」，其定義域(Domain)是所有的整數，則下列邏輯何者不正確？(1)P(0)為真(True)(2)P(1)為真(True)(3)xP(x)為真(True)，表示存在有一個x滿足P(x)陳述(4)xP(x)為真(True)，表示所有的x滿足P(x)陳述。
104	1	3	考慮下列邏輯假設：(a)假設今天下午我們去游泳，就表示天氣放晴。(b)假使今天下午我們沒去游泳，我們會去泛舟。(c)假使今天下午我們去泛舟，會在日落前回家。已知：「今天下午不是晴天，且比昨天下午還冷」，則我們無法確定的結論(Conclusion)是：(1)我們會去泛舟(2)我們會在日落前回家(3)我們會去游泳(4)今天下午比昨天下午還冷。
105	1	2	在8個位元的所有組合中，有幾種組合是「從1開始」或是「以00結尾」?(1)120(2)160(3)192(4)200。
106	1	4	某電腦系統定義「有效碼(Valid Codeword)」由0到9的數字所組成，其中必須包含偶數個0。舉例來說，0204是有效碼，而0928則是無效碼。下列何者不正確？(1)0-9共有9個有效碼(2)00-99共有82個有效碼(3)000-999共有756個有效碼(4)0000-9999共有7050個有效碼。
107	1	1	IPv4的一個Class A擁有幾個可供實際配置的IP位址？(1)2,130,706,178(2)16,777,214(3)2,158,576,178(4)12,316,214。"
108	1	3	IPv4的一個Class B擁有幾個可供實際配置的IP位址？(1)16384×65536(2)16386×65536(3)16384×65534(4)16386×65534。
109	1	2	小明班上共有100位同學，下列何者保證正確？(1)至少有五位同學是一月份生日(2)至少有九位同學是同一個月份生日(3)至少有兩位同學同一天生日(4)不可能全班同學都是同一天生日。
110	1	3	邏輯式(A+B)'可用下列那個邏輯式取代？(1)AB(2)A'+B(3)A'B'(4)B+A'。
111	1	4	1TB的記憶容量等於多少Bytes？(1)2的50次方(2)2的20次方(3)2的30次方(4)2的40次方。
112	1	3	在數據通訊(Data Communication)系統中，線路兩端的電腦，彼此可同時交互傳送及接受資料的型態稱為(1)單工(2)半雙工(3)全雙工(4)線上雙工。
113	1	2	下列何者不是作業系統的主要功能？(1)設備管理(2)排序(3)記憶體管理(4)資源分配。
114	1	2	十六進位數(AB)和(99)作OR運算後，其十六進位數之值為何？(1)AB(2)BB(3)FB(4)BF。
115	1	2	二進位數字「11100101」和「01010101」做AND運算後，其十六進位數之值為何？(1)A5(2)45(3)F5(4)55。
116	1	1	二進位數的「00111011」和「10100001」做XOR運算後，其十六進位數之值為何？(1)9A(2)BF(3)30(4)B7。
117	1	1	假設電腦的主記憶體有129KB，則記憶體位址暫存器(Memory Address Register)中有：(1)18位元(2)15位元(3)16位元(4)17位元。
118	1	3	若CPU可直接存取1G Bytes的記憶體，則最少需要幾條位址線？(1)10(2)20(3)30(4)40。
119	1	1	英文字母「F」的ASCII值以十進位表示是70，其在電腦內被儲存方式是？(1)01000110(2)01100010(3)01001100(4)10001010。
120	1	3	「193.170.1.11」是屬於那個Class的IP？(1)A(2)B(3)C(4)D。
121	1	3	(本題刪題)電腦的「位址匯流排(Address Bus)」若有16條線，則其記憶空間最多可達多少Bytes？(1)16M(2)32M(3)64M(4)128M。
122	1	1	「十六進位數的CF.4」換算成十進位數為何？(1)207.25(2)281.4(3)193.25(4)201.4。
123	1	1	若以19200bps的傳輸速度傳送6000個Big-5碼中文字，則需花多少時間？(1)5(2)10(3)0.3125(4)0.625 秒。
124	1	4	下列儲存裝置中，何者存取速度最快？(1)硬式磁碟機(Hard Disk)(2)主記憶體(Main Memory)(3)唯讀光碟機(CD-ROM)(4)快取記憶體(Cache Memory)。
125	1	4	下列四組專有名詞對照，何者錯誤？(1)電子郵件：E-Mail(2)區域網路：LAN(3)辦公室自動化：OA(4)都會型網路：WIMAX。
126	1	3	下列為布林代數的基本關係，何者錯誤？(1)X+1=1(2)X+X'=1(3)(X+Y)'=X'Y+XY'(4)(X')'=X。
127	1	3	「十進位數之0.875」以二進位數表示時應為何？(1)0.11011(2)0.0111(3)0.111(4)0.1101。
128	1	4	若採用奇同位(Odd Parity)檢查法傳輸資料，下列接收端所收到的各筆資料中，何者會被判定在傳輸時有錯誤發生？(1)11100011(2)10011011(3)10000110(4)10101010。
129	1	4	若有一大小為800×600之圖片，每個像素(pixel)以3個Bytes的全彩影像儲存於電腦中，則此圖片約需佔用多少儲存空間？(1)1.57MBytes(2)1.17MBytes(3)1.77MBytes(4)1.37MBytes。
130	1	3	某公司由於辦公室分布在各個不同樓層，為方便管理起見，欲將內部電腦以30部為單位分割成不同之子網域，試問其內部電腦最小網路遮罩應該設為：(1)255.255.255.128(2)255.255.255.192(3)255.255.255.224(4)255.255.11255.248。
131	1	1	二進位資料10010100101001.11110101若以十六進位表示，下列何者正確？(1)2529.F5(2)94A1.5F(3)94A1.F5(4)2529.5F。
132	1	2	氣泡排序法(Bubble Sort)是利用相鄰資料兩兩相比而完成資料由小到大或由大到小排序，假設有六個整數資料要做排序，最少要做幾次相鄰資料相比較的工作？(1)10(2)15(3)20(4)25。
133	1	1	目前所使用的IPv6的長度是多少bits？(1)128(2)64(3)32(4)256。
134	1	4	有一個Class C網域，今欲切成32個子網路，則其網路遮罩應為？(1)255.255.255.0(2)255.255.255.128(3)255.255.255.192(4)255.255.255.248。
135	1	2	下列有關「中斷(Interrupt)」的敘述中，何者正確？(1)中斷的要求必定來自硬體(2)硬體中斷，相對於CPU正2在執行的程式，乃是一非同步事件(Asynchronous Event)(3)當CPU在執行中斷時，就不能再執行其他的中斷(4)可遮沒的中斷(Mask Interrupt)沒有優先權。
136	1	3	假設X=1001，Y=0101，則以下何者不正確？(1)Y+XY=0101(2)XY'+Y=1101(3)(X+Y)X'=0110(4)X'Y+XY'=1100。
137	1	4	已存在公式「Y=(7Y+1) mod 6」，假設Y=3，則以下何者不正確？(1)Y=5(2)Y=0(3)Y=4(4)經此公式，Y永遠不會等於2。
138	1	2	在8個位元的所有組合中，有幾種組合是「從1開始」且「以00結尾」：(1)16(2)32(3)64(4)128。
139	1	3	以下那一個數字使用IEEE754浮點表示法儲存時會有誤差？(1)0.5(2)0.625(3)0.815(4)0.5625。
