序號	單元	答案	題目
11	104	B	閱讀附圖文章，其中劃底線處依序應填入的內容，正確的選項為何？(A) 《詩經 》、《國語 》、《 莊子 》、《世說新語》(B) 《禮記 》、《漢書 》、《 老子 》、《昭明文選》(C) 《尚書 》、《通鑑 》、《 列子 》、《樂府詩集》(D) 《春秋 》、《史記 》、《 管子 》、《文心雕龍》
12	104	B	下列文句，何者沒有錯別字？(A) 散落一地的鏗鏘字句，擲地如金石聲，而後寂寂蓼蓼成了段簡殘篇(B) 柴油車輕輕搖晃，輪聲吱嘎，蜿蜒曲折地通過一個又一個的隧道和小站(C) 沒有窒悶的香煙繚繞，沒有喧嘩的遊人如熾，一徑的，冷冷寂寂，正是清修佳地(D) 此刻我意興瀾珊，獨自一人，蕭瑣對望雨洗過的蒼翠山巒與柔細煙嵐，四顧茫茫
13	104	B	附圖文章( 甲 ) ( 乙 ) ( 丙 ) 所指的作家依序為何，請選出正確的選項：(A) 張曉風、賴和、洪醒夫(B) 鍾理和、賴和、黃春明(C) 黃春明、張曉風、阿盛(D) 阿盛、鍾理和、洪醒夫
14	104	D	依附圖回答以下三題：1.下列何者符合豬形撲滿「精神特徵與器物內涵相統一」的意涵？(a) 涓滴成河，多多益善(b) 左右逢源，成之在我(c) 百尺竿頭，自食其力(d) 同舟共濟，夙興夜寐2.下列選項中的敘述，何者正確？(a) 漢代的撲滿以黏土製成，是源自於堅固耐用的長久考量(b) 鄒長倩送撲滿給公孫弘，是要他懂得財聚則民散的道理(c) 撲滿儲滿金錢後要砸破，就好像取卵要殺雞的意思一樣(d) 祖先的撲滿哲學顯示出，積聚大量的錢財就能國富民安3.下列選項中的文句意涵，何者與作者主張的「撲滿哲學」不符合？(a) 知足者可常享喜樂(b) 施者比受者更有福(c) 付出者勝過於擁有者(d) 知進不退者無往不利答案順序為(A)a,c,d (B)d,c,c (C)a,d,b (D)a,b,d
15	104	A	閱讀附圖文章後，依序選出以下三題的答案順序1. 關於近視、白內障、飛蚊症、青光眼等眼病的敘述，下列選項何者錯誤？(a) 近視和白內障的形成因素都與晶狀體本身出現了毛病有關(b) 白內障和飛蚊症的形成因素僅與視網膜本身產生病變有關(c) 青光眼和因青光眼所造成的飛蚊症都與眼內壓力升高有關(d) 青光眼和白內障都與光線無法在視網膜上正常的投射有關2. 關於白居易眼病的敘述，下列選項何者正確？(a) 作者從白居易會眼昏的角度判斷他得了青光眼(b) 作者從白居易會眼痛判斷他的晶狀體出了問題(c) 作者認為白居易的飛蚊症可能是玻璃體中有積血所致(d) 作者認為白居易的青光眼全部導因於眼睛結構的異常3. 依上文，下列白居易詩句，何者最有助於作者研判白居易患有青光眼？(a)面黑眼昏頭白雪，老應無可更增加。(b)目昏思寢即安眠，足軟妨行便坐禪。(c)眼澀夜先臥，頭慵朝未梳。有時扶杖出，盡日閉門居。(d)兩目今先暗，中年似老翁。看朱漸成碧，羞日不禁風。(A)b,c,c(B)a,d,c(C)d,d,c(D)a,b,d
16	104	B	閱讀附圖文章後，依序選出以下三題的答案順序1. 依上文，關於紫外線的敘述，下列選項何者正確？(a) UVB 對皮膚的穿透度要深於UVA(b) UVC 對皮膚的曬傷率要高於UVB(c) 以波長的傷害程度來看，UVC 的傷害最嚴重(d) 以皮膚的傷害速度來看，UVA 的傷害最立即2. 依上文，皮膚易過敏且要預防因曬傷而導致皮膚癌的人，應該要塗抹含下列何種成分的防曬乳液？(a) 氧化鋅(b) 桂皮酸鹽(c) 麥素寧濾光環(d) 二甲基氨基苯甲酸3. 依上文，對於防曬觀念的敘述，下列選項何者錯誤？(a) 即使我們身處室內，也有可能受到紫外線的傷害(b) 保護地球臭氧層，能降低紫外線傷害人體的機率(c) 如果要避免皮膚過敏，最好塗抹能阻隔反射紫外線的產品來防曬(d) 如果要趕著出門，最好塗抹能吸收轉換紫外線的產品以立即防曬(A)a,c,d(B)c,a,d(C)c,d,d(D)b,a,c
17	104	A	下列各組文句中，「」內詞義相同的選項為何？(A)「薄」暮冥冥，虎嘯猿啼／ 日「薄」西山，氣息奄奄(B) 學而時習之，不亦「說」乎／ 郢書燕「說」，猶存其名(C) 會「數」而禮勤，物薄而情厚／ 伏聞生死有常，難逃定「數」(D)「曾」經滄海難為水，除卻巫山不是雲／ 所以動心忍性，「曾」益其所不能
18	104	D	閱讀附圖文章後，依序選出以下三題的答案順序1. 依上文，下列何者是渡者判斷作者能否及時入城的依據？(a) 書僮的狀況(b) 時間的影響(c) 距離的條件(d) 天候的因素2. 依上文，文末兩次的「其猶是也夫！其猶是也夫」，表達了作者何種呼告語氣？(a) 埋怨的語氣(b) 沈痛的語氣(c) 請求的語氣(d) 感悟的語氣3. 依上文，作者透過此次經驗所得到的體會，下列選項何者錯誤？(a) 性急圖快，欲速則不達(b) 以小見大，察言並觀色(c) 智者慮遠，見微以知著(d) 力排異議，擇善而固執(A)b,c,c(B)b,a,c(C)a,a,d(D)a,d,d
19	104	C	閱讀附圖文章後，依序選出以下三題的答案順序1. 依上文，下列選項中的景象，何者沒有出現在蜃景中？(a) 櫛比鱗次的高樓(b) 翼可蔽天的鵬鳥(c) 建築精巧的寺廟(d) 直立高聳的群山2. 依上文，下列選項中的敘述，何者錯誤？(a) 文中蜃景出現的時段，是從上午到中午(b) 當蜃景慢慢消失後，海上景色一如往常(c) 面對蜃景的現象，作者的心態是從不信到相信(d) 作者接受穎川主人的邀請，同在高樓上看蜃景3. 依上文，下列選項中作者描述蜃景用語的說明，何者正確？(a)「隱見不常」、「驟變欻起」，描寫了蜃景變化的飄忽不定(b)「矗如」、「聯如」、「立如」、「站如」，呈現了蜃景的千篇一律(c)「家僮走報」、「父老觀以為甚異」，強調了人們看見蜃景的不以為異(d)「移時」、「又移時」，指出作者為了要有更好的觀賞視野而不時移動位置(A)d,c,a(B)b,c,d(C)b,a,a(D)b,d,a
20	104	A	閱讀附圖文章後，依序選出以下三題的答案順序1. 下列關於〈桃花源記〉和〈桃源篇〉的文句解釋，何者正確？(a) 〈桃花源記〉的「阡陌交通」，意近於〈桃源篇〉的「鑿井耕田」(b) 〈桃花源記〉的「黃髮垂髫」，意同於〈桃源篇〉的「龐眉秀骨」(c) 〈桃花源記〉的「便要還家」，意近於〈桃源篇〉的「寧知掩映有人家」(d) 〈桃花源記〉的「設酒、殺雞、作食」，意同於〈桃源篇〉的「石髓雲英甘且香」2. 下列關於〈桃花源記〉和〈桃源篇〉的比較，何者錯誤？(a) 〈桃花源記〉和〈桃源篇〉皆謂桃花源為與世隔絕之境(b) 〈桃源篇〉認為居桃花源中者為神仙，〈桃花源記〉無此想法(c) 〈桃花源記〉將故事背景設在晉代，〈桃源篇〉將故事背景改為漢代(d) 〈桃源篇〉未述及〈桃花源記〉「此中人語云：不足為外人道也」的情節3. 〈桃源篇〉較〈桃花源記〉多出「一路鮮雲雜彩霞」、「漸入空濛迷鳥道」的描寫，添加這樣的描寫，最可能具有下列何種作用？(a) 烘托桃花源為渺遠絕美的仙家異境(b) 說明桃花源「土地平曠，屋舍儼然」(c) 強調桃花源中之人為避秦亂、冒險入山的艱辛(d) 為漁人入桃花源後「大驚」、「嘆惋」預設反襯伏筆(A)a,c,a(B)a,a,a(C)c,d,b(D)c,b,d
21	104	D	詞義會因年代而產生變化，請選出下列文句「」內，詞義古今相同的選項：(A) 弟走從軍阿姨死，暮去朝來「顏色」故／ 這件衣服的「顏色」非常特別(B) 自是指物作詩立就，其文理皆有「可觀」者／ 這個工程所需經費非常「可觀」(C) 不聞人從日邊來，「居然」可知／ 男生於母親節感性說愛，母親「居然」不領情(D)今觀其「文章」，寬厚宏博，充乎天地之間／ 寫「文章」可以累積知識，培養思考能力
22	104	C	閱讀附圖新詩，推斷□□□□內最適合填入的詞語依序為何？(A) 足蹄腹背／ 力爭上游／ 摟進懷裡(B) 足蹄腹背／ 地氣上騰／ 蹲坐樹下(C) 踢腿翻身／ 地氣上騰／ 摟進懷裡(D) 踢腿翻身／ 力爭上游／ 蹲坐樹下
23	104	B	閱讀圖片，推斷□□□□內最適合填入的詞語依序為何？(A) 百無禁忌／ 毫髮無損／ 風雲變色(B) 百無禁忌／ 肆無忌憚／ 面不改色(C) 百無聊賴／ 肆無忌憚／ 面不改色(D) 百無聊賴／ 毫髮無損／ 風雲變色
24	104	C	下列選項，何者沒有語詞冗贅的情形？(A) 她的表現相當傑出，之後未來的前途必不可限量(B) 我在家排行老么，上面有兩位年長比我大的哥哥(C) 這問題相當棘手，他不停地尋找可能的解決辦法(D) 為了報導最新案情，記者現在此刻正在案發現場
25	104	A	下列含「其中」的文句，何者沒有語病？(A) 這批古董來歷完全不同，其中以這一件瓷器年代最早(B) 這群民眾全都七嘴八舌，其中以這一位特別沈默不語(C) 這場意外造成全數死亡，他也是其中一個倖免於難者(D) 這次徵才全無適合人選，你剛好是其中一個合格的人
26	104	C	閱讀附圖文章，選出不是樊噲所持論點的選項(A) 沛公遵守先前誓約，沒有稱王意圖(B) 沛公還軍等待項王，並無踰越之舉(C) 沛公勢力不若項王，不敢輕舉妄動(D) 沛公破秦入關有功，反遭謠言所害
